metrica,valor
node_id,000017-04
punto,Esc. Lo Velásquez
ventana_horaria_chile,"00:00 a 24:00 (hora inicio inclusive, fin exclusivo)"
total_m3_referencia,33.000000
total_m3_auditoria,36.700000
nota,total_ref = periodo con control; total_aud = periodo sin control
ahorro_m3_referencia_menos_auditoria,-3.700000
rendimiento_ahorro_pct_sobre_referencia,-11.2121

indice,etiqueta,m3_h_referencia,m3_h_auditoria
120,"D6 00:00
18-04-26",0.0,0.0
121,"D6 01:00
18-04-26",0.0,0.0
122,"D6 02:00
18-04-26",0.0,0.0
123,"D6 03:00
18-04-26",0.0,0.0
124,"D6 04:00
18-04-26",0.0,0.0
125,"D6 05:00
18-04-26",0.0,0.0
126,"D6 06:00
18-04-26",0.0,0.0
127,"D6 07:00
18-04-26",0.0,0.0
128,"D6 08:00
18-04-26",0.0,0.0
129,"D6 09:00
18-04-26",0.0,0.0
130,"D6 10:00
18-04-26",0.0,0.0
131,"D6 11:00
18-04-26",0.0,0.0
132,"D6 12:00
18-04-26",0.0,0.0
133,"D6 13:00
18-04-26",0.0,0.0
134,"D6 14:00
18-04-26",0.0,0.0
135,"D6 15:00
18-04-26",0.0,0.0
136,"D6 16:00
18-04-26",0.0,0.0
137,"D6 17:00
18-04-26",0.0,0.0
138,"D6 18:00
18-04-26",0.0,0.0
139,"D6 19:00
18-04-26",0.0,0.0
140,"D6 20:00
18-04-26",0.0,0.0
141,"D6 21:00
18-04-26",0.0,0.0
142,"D6 22:00
18-04-26",0.0,0.0
143,"D6 23:00
18-04-26",0.0,0.0
144,"D7 00:00
19-04-26",0.0,0.0
145,"D7 01:00
19-04-26",0.0,0.0
146,"D7 02:00
19-04-26",0.0,0.0
147,"D7 03:00
19-04-26",0.0,0.0
148,"D7 04:00
19-04-26",0.0,0.0
149,"D7 05:00
19-04-26",0.0,0.0
150,"D7 06:00
19-04-26",0.0,0.0
151,"D7 07:00
19-04-26",0.0,0.0
152,"D7 08:00
19-04-26",0.0,0.0
153,"D7 09:00
19-04-26",0.0,0.0
154,"D7 10:00
19-04-26",0.0,0.0
155,"D7 11:00
19-04-26",0.0,0.0
156,"D7 12:00
19-04-26",0.0,0.0
157,"D7 13:00
19-04-26",0.0,0.0
158,"D7 14:00
19-04-26",0.0,0.0
159,"D7 15:00
19-04-26",0.0,0.0
160,"D7 16:00
19-04-26",0.0,0.0
161,"D7 17:00
19-04-26",0.0,0.0
162,"D7 18:00
19-04-26",0.0,0.0
163,"D7 19:00
19-04-26",0.0,0.0
164,"D7 20:00
19-04-26",0.0,0.0
165,"D7 21:00
19-04-26",0.0,0.0
166,"D7 22:00
19-04-26",0.0,0.0
167,"D7 23:00
19-04-26",0.0,0.0

nota_comparacion_24h,Total diario = suma horas 0-23 (m³/h); aproxima consumo del día en m³.
dia,fecha_con,fecha_sin,total_m3_con,total_m3_sin,diferencia_con_menos_sin
Lunes,2026-04-13,2026-04-06,6.980000,7.880000,-0.900000
Martes,2026-04-14,2026-04-07,5.710000,6.530000,-0.820000
Miércoles,2026-04-15,2026-04-08,6.610000,7.350000,-0.740000
Jueves,2026-04-16,2026-04-09,7.430000,7.930000,-0.500000
Viernes,2026-04-17,2026-04-10,6.270000,7.010000,-0.740000
Sábado,2026-04-18,2026-04-11,0.000000,0.000000,0.000000
Domingo,2026-04-19,2026-04-12,0.000000,0.000000,0.000000
