lunes_semana;etiqueta;m3_con_wes;m3_sin_wes;ahorro_m3;rendimiento_pct;ahorro_clp;ocupacion_piscina
2026-05-04;04/05–10/05;308.2800;363.9600;55.6800;15.30;72384;operativa
2026-05-11;11/05–17/05;273.6400;363.9600;90.3200;24.82;117416;operativa
2026-05-18;18/05–24/05;193.5200;363.9600;170.4400;46.83;221572;operativa
2026-05-25;25/05–31/05;314.0100;363.9600;49.9500;13.72;64935;operativa
2026-06-01;01/06–07/06;321.4000;363.9600;42.5600;11.69;55328;operativa
2026-06-08;08/06–14/06;324.7700;363.9600;39.1900;10.77;50947;operativa
2026-06-15;15/06–21/06;86.2400;363.9600;277.7200;76.31;361036;receso
2026-06-22;22/06–28/06;241.3200;363.9600;122.6400;33.70;159432;operativa
2026-06-29;29/06–05/07;148.7700;363.9600;215.1900;59.12;279747;operativa
2026-07-06;06/07–12/07;188.8600;363.9600;175.1000;48.11;227630;operativa
2026-07-13;13/07–19/07;176.3600;363.9600;187.6000;51.54;243880;operativa
2026-07-20;20/07–26/07;258.3900;363.9600;105.5700;29.01;137241;operativa
2026-07-27;27/07–02/08;257.2800;363.9600;106.6800;29.31;138684;operativa
2026-08-03;03/08–09/08;233.0300;363.9600;130.9300;35.97;170209;operativa
2026-08-10;10/08–16/08;228.5600;363.9600;135.4000;37.20;176020;operativa
