metrica,valor
node_id,000017-05
punto,Gimnasio
ventana_horaria_chile,"00:00 a 24:00 (hora inicio inclusive, fin exclusivo)"
total_m3_referencia,3019.540000
total_m3_auditoria,470.180000
nota,total_ref = periodo con control; total_aud = periodo sin control
ahorro_m3_referencia_menos_auditoria,2549.360000
rendimiento_ahorro_pct_sobre_referencia,84.4288

indice,etiqueta,m3_h_referencia,m3_h_auditoria
118,"D5 22:00
17-04-26",21.84917098445596,1.38
119,"D5 23:00
17-04-26",21.593681505762927,1.38
120,"D6 00:00
18-04-26",95.43726809760365,0.0
121,"D6 01:00
18-04-26",95.44792076733214,0.0
122,"D6 02:00
18-04-26",95.44792076733214,0.0
123,"D6 03:00
18-04-26",95.43726809760365,0.0
124,"D6 04:00
18-04-26",95.44792076733214,0.0
125,"D6 05:00
18-04-26",95.43726809760365,0.0
126,"D6 06:00
18-04-26",95.41596275814665,0.02
127,"D6 07:00
18-04-26",95.39465741868965,0.02
128,"D6 08:00
18-04-26",95.37335207923266,0.0
129,"D6 09:00
18-04-26",95.27747805167618,0.0
130,"D6 10:00
18-04-26",95.32008873059019,0.0
131,"D6 11:00
18-04-26",70.38218889617895,0.0
132,"D6 12:00
18-04-26",9.427612709719748,0.07
133,"D6 13:00
18-04-26",95.37335207923266,0.39
134,"D6 14:00
18-04-26",95.37335207923266,0.51
135,"D6 15:00
18-04-26",95.38400474896116,0.66
136,"D6 16:00
18-04-26",95.40531008841816,0.35
137,"D6 17:00
18-04-26",95.39465741868965,0.01
138,"D6 18:00
18-04-26",95.40531008841816,0.04
139,"D6 19:00
18-04-26",95.39465741868965,0.0
140,"D6 20:00
18-04-26",95.41596275814665,0.0
141,"D6 21:00
18-04-26",94.85137126253632,0.0
142,"D6 22:00
18-04-26",58.51511481863342,0.0
143,"D6 23:00
18-04-26",0.0,0.0
144,"D7 00:00
19-04-26",0.0,0.0
145,"D7 01:00
19-04-26",53.97418845395458,0.0
146,"D7 02:00
19-04-26",127.7983294383992,0.0
147,"D7 03:00
19-04-26",130.764414299277,0.05
148,"D7 04:00
19-04-26",110.32980081063319,0.16
149,"D7 05:00
19-04-26",0.8128213320674798,0.0
150,"D7 06:00
19-04-26",0.05704009347841964,0.0
151,"D7 07:00
19-04-26",0.0,0.14
152,"D7 08:00
19-04-26",0.02852004673920982,0.03
153,"D7 09:00
19-04-26",0.12834021032644416,0.05
154,"D7 10:00
19-04-26",0.22816037391367855,0.06
155,"D7 11:00
19-04-26",0.01426002336960491,0.06
156,"D7 12:00
19-04-26",0.05704009347841964,0.09
157,"D7 13:00
19-04-26",0.4848407945665669,0.09
158,"D7 14:00
19-04-26",60.43397904038561,0.11
159,"D7 15:00
19-04-26",130.66459413568978,0.09
160,"D7 16:00
19-04-26",94.4298747535237,0.03
161,"D7 17:00
19-04-26",2.8805247206601914,0.03
162,"D7 18:00
19-04-26",66.66560925290295,0.0
163,"D7 19:00
19-04-26",0.9982016358723436,0.0
164,"D7 20:00
19-04-26",0.08556014021762945,0.0
165,"D7 21:00
19-04-26",0.19964032717446872,0.0
166,"D7 22:00
19-04-26",0.01426002336960491,0.0
167,"D7 23:00
19-04-26",0.0,0.0

nota_comparacion_24h,Total diario = suma horas 0-23 (m³/h); aproxima consumo del día en m³.
dia,fecha_con,fecha_sin,total_m3_con,total_m3_sin,diferencia_con_menos_sin
Lunes,2026-04-13,2026-04-06,5.550000,41.450000,-35.900000
Martes,2026-04-14,2026-04-07,67.800000,51.140000,16.660000
Miércoles,2026-04-15,2026-04-08,2.590000,36.840000,-34.250000
Jueves,2026-04-16,2026-04-09,2.820000,304.570000,-301.750000
Viernes,2026-04-17,2026-04-10,113.970000,33.120000,80.850000
Sábado,2026-04-18,2026-04-11,2045.760000,2.070000,2043.690000
Domingo,2026-04-19,2026-04-12,781.050000,0.990000,780.060000
