factura;desde;hasta;m3;total_clp;clp_esperado;sobrecosto_clp;estado
8539040;2025-02-26;2025-04-25;30508;37976330;38459055;-482725;Con monitoreo WES
8654293;2025-04-25;2025-06-27;29800;38049260;37566535;482725;Con monitoreo WES
8764179;2025-06-27;2025-08-26;27783;36443040;35023860;1419180;Sin monitoreo WES
8879697;2025-08-26;2025-10-28;31554;45065820;39777666;5288154;Sin monitoreo WES
8992578;2025-10-28;2025-12-28;30756;41214030;38771689;2442341;Sin monitoreo WES
9106090;2025-12-28;2026-03-03;37157;54971040;46840931;8130109;Sin monitoreo WES
9222423;2026-03-03;2026-04-28;30641;43094390;38626718;4467672;Sin monitoreo WES
