TIME,VALUE
2025-03-01,129.50
2025-03-02,146.10
2025-03-03,18.80
2025-03-04,142.50
2025-03-05,268.10
2025-03-06,117.80
2025-03-07,102.20
2025-03-08,30.50
2025-03-09,76.50
2025-03-10,145.70
2025-03-11,15.90
2025-03-12,.00
2025-03-13,.00
2025-03-14,.00
2025-03-15,.00
2025-03-16,.00
2025-03-17,33.70
2025-03-18,61.00
2025-03-19,57.40
2025-03-20,44.40
2025-03-21,44.60
2025-03-22,19.80
2025-03-23,4.50
2025-03-24,57.70
2025-03-25,45.00
2025-03-26,59.90
2025-03-27,46.30
2025-03-28,42.60
2025-03-29,17.80
2025-03-30,3.50
2025-03-31,56.60
