lunes_semana;etiqueta;m3_con_wes;m3_sin_wes;ahorro_m3;rendimiento_pct;ahorro_clp;ocupacion_piscina
2026-05-04;04/05–10/05;208.7000;227.4700;18.7700;8.25;24401;operativa
2026-05-11;11/05–17/05;173.3500;227.4700;54.1200;23.79;70356;operativa
2026-05-18;18/05–24/05;186.5900;227.4700;40.8800;17.97;53144;operativa
2026-05-25;25/05–31/05;202.6000;227.4700;24.8700;10.93;32331;operativa
2026-06-01;01/06–07/06;205.3900;227.4700;22.0800;9.71;28704;operativa
2026-06-08;08/06–14/06;211.8800;227.4700;15.5900;6.85;20267;operativa
2026-06-15;15/06–21/06;47.6600;227.4700;179.8100;79.05;233753;receso
2026-06-22;22/06–28/06;159.5800;227.4700;67.8900;29.85;88257;operativa
2026-06-29;29/06–05/07;94.6500;227.4700;132.8200;58.39;172666;operativa
2026-07-06;06/07–12/07;143.5800;227.4700;83.8900;36.88;109057;operativa
2026-07-13;13/07–19/07;126.2700;227.4700;101.2000;44.49;131560;operativa
2026-07-20;20/07–26/07;167.5800;227.4700;59.8900;26.33;77857;operativa
2026-07-27;27/07–02/08;160.2400;227.4700;67.2300;29.56;87399;operativa
2026-08-03;03/08–09/08;150.0400;227.4700;77.4300;34.04;100659;operativa
2026-08-10;10/08–16/08;149.5600;227.4700;77.9100;34.25;101283;operativa
