metrica,valor
node_id,000017-06
punto,Piscina Municipal
ventana_horaria_chile,"00:00 a 24:00 (hora inicio inclusive, fin exclusivo)"
total_m3_referencia,297.800000
total_m3_auditoria,698.740000
nota,total_ref = periodo con control; total_aud = periodo sin control
ahorro_m3_referencia_menos_auditoria,-400.940000
rendimiento_ahorro_pct_sobre_referencia,-134.6340

indice,etiqueta,m3_h_referencia,m3_h_auditoria
114,"D5 18:00
17-04-26",0.0,3.56
115,"D5 19:00
17-04-26",0.0,3.56
116,"D5 20:00
17-04-26",0.0,3.28
117,"D5 21:00
17-04-26",0.0,3.14
118,"D5 22:00
17-04-26",0.0,3.2
119,"D5 23:00
17-04-26",0.0,3.16
120,"D6 00:00
18-04-26",0.0,3.28
121,"D6 01:00
18-04-26",0.0,3.14
122,"D6 02:00
18-04-26",0.0,3.14
123,"D6 03:00
18-04-26",0.0,3.22
124,"D6 04:00
18-04-26",3.94,3.56
125,"D6 05:00
18-04-26",3.8,3.56
126,"D6 06:00
18-04-26",3.78,3.54
127,"D6 07:00
18-04-26",6.26,3.56
128,"D6 08:00
18-04-26",7.28,4.44
129,"D6 09:00
18-04-26",3.74,3.54
130,"D6 10:00
18-04-26",3.68,3.52
131,"D6 11:00
18-04-26",3.68,3.52
132,"D6 12:00
18-04-26",3.7,3.54
133,"D6 13:00
18-04-26",3.7,3.56
134,"D6 14:00
18-04-26",3.7,3.54
135,"D6 15:00
18-04-26",3.72,3.58
136,"D6 16:00
18-04-26",0.48,3.66
137,"D6 17:00
18-04-26",0.0,3.58
138,"D6 18:00
18-04-26",0.0,3.58
139,"D6 19:00
18-04-26",0.0,3.58
140,"D6 20:00
18-04-26",0.0,3.3
141,"D6 21:00
18-04-26",0.0,3.14
142,"D6 22:00
18-04-26",0.0,3.18
143,"D6 23:00
18-04-26",0.0,3.16
144,"D7 00:00
19-04-26",0.0,3.398876462938882
145,"D7 01:00
19-04-26",0.0,3.442174252275683
146,"D7 02:00
19-04-26",0.0,3.4205253576072825
147,"D7 03:00
19-04-26",0.0,3.5287698309492845
148,"D7 04:00
19-04-26",0.0,4.048343302990897
149,"D7 05:00
19-04-26",0.0,3.9617477243172954
150,"D7 06:00
19-04-26",0.0,3.875152145643693
151,"D7 07:00
19-04-26",0.0,4.005045513654096
152,"D7 08:00
19-04-26",0.0,3.875152145643693
153,"D7 09:00
19-04-26",0.0,3.8318543563068923
154,"D7 10:00
19-04-26",0.0,3.8535032509752924
155,"D7 11:00
19-04-26",0.0,3.8535032509752924
156,"D7 12:00
19-04-26",0.0,3.875152145643693
157,"D7 13:00
19-04-26",0.0,3.875152145643693
158,"D7 14:00
19-04-26",0.0,3.875152145643693
159,"D7 15:00
19-04-26",0.0,3.8968010403120936
160,"D7 16:00
19-04-26",0.0,3.8968010403120936
161,"D7 17:00
19-04-26",0.0,3.940098829648895
162,"D7 18:00
19-04-26",0.0,3.8968010403120936
163,"D7 19:00
19-04-26",0.0,3.918449934980494
164,"D7 20:00
19-04-26",0.0,3.8102054616384917
165,"D7 21:00
19-04-26",0.0,3.160738621586476
166,"D7 22:00
19-04-26",0.0,0.0
167,"D7 23:00
19-04-26",0.0,0.0

nota_comparacion_24h,Total diario = suma horas 0-23 (m³/h); aproxima consumo del día en m³.
dia,fecha_con,fecha_sin,total_m3_con,total_m3_sin,diferencia_con_menos_sin
Lunes,2026-04-13,2026-04-06,51.100000,70.620000,-19.520000
Martes,2026-04-14,2026-04-07,45.280000,131.660000,-86.380000
Miércoles,2026-04-15,2026-04-08,44.160000,146.000000,-101.840000
Jueves,2026-04-16,2026-04-09,51.420000,101.500000,-50.080000
Viernes,2026-04-17,2026-04-10,54.380000,82.300000,-27.920000
Sábado,2026-04-18,2026-04-11,51.460000,83.420000,-31.960000
Domingo,2026-04-19,2026-04-12,0.000000,83.240000,-83.240000
