lunes_semana;etiqueta;m3_con_wes;m3_sin_wes;ahorro_m3;rendimiento_pct;ahorro_clp;ocupacion_piscina
2026-05-04;04/05–10/05;275.8800;339.0000;63.1200;18.62;82056;operativa
2026-05-11;11/05–17/05;239.2000;339.0000;99.8000;29.44;129740;operativa
2026-05-18;18/05–24/05;192.9200;339.0000;146.0800;43.09;189904;operativa
2026-05-25;25/05–31/05;276.6200;339.0000;62.3800;18.40;81094;operativa
2026-06-01;01/06–07/06;280.5600;339.0000;58.4400;17.24;75972;operativa
2026-06-08;08/06–14/06;285.7300;339.0000;53.2700;15.71;69251;operativa
2026-06-15;15/06–21/06;66.2600;339.0000;272.7400;80.45;354562;receso
2026-06-22;22/06–28/06;221.9600;339.0000;117.0400;34.53;152152;operativa
2026-06-29;29/06–05/07;131.9200;339.0000;207.0800;61.09;269204;operativa
2026-07-06;06/07–12/07;163.2600;339.0000;175.7400;51.84;228462;operativa
2026-07-13;13/07–19/07;159.8800;339.0000;179.1200;52.84;232856;operativa
2026-07-20;20/07–26/07;229.0400;339.0000;109.9600;32.44;142948;operativa
2026-07-27;27/07–02/08;229.1500;339.0000;109.8500;32.40;142805;operativa
2026-08-03;03/08–09/08;206.1000;339.0000;132.9000;39.20;172770;operativa
2026-08-10;10/08–16/08;201.0900;339.0000;137.9100;40.68;179283;operativa
