TIME,VALUE
2025-12-01,25.70
2025-12-02,23.50
2025-12-03,17.40
2025-12-04,18.50
2025-12-05,13.40
2025-12-06,3.90
2025-12-07,2.70
2025-12-08,2.60
2025-12-09,11.10
2025-12-10,8.80
2025-12-11,13.20
2025-12-12,5.90
2025-12-13,5.10
2025-12-14,10.70
2025-12-15,13.50
2025-12-16,16.70
2025-12-17,20.00
2025-12-18,14.20
2025-12-19,19.50
2025-12-20,18.00
2025-12-21,19.30
2025-12-22,19.40
2025-12-23,16.40
2025-12-24,21.80
2025-12-25,23.50
2025-12-26,13.50
2025-12-27,10.30
2025-12-28,12.50
2025-12-29,11.40
2025-12-30,10.60
2025-12-31,9.50
