TIME,VALUE
2026-02-06T00:00:00.000Z,  0.09
2026-02-06T01:00:00.000Z,  0.14
2026-02-06T02:00:00.000Z,  0.36
2026-02-06T03:00:00.000Z,  0.46
2026-02-06T04:00:00.000Z,  0.50
2026-02-06T05:00:00.000Z,  0.48
2026-02-06T06:00:00.000Z,  0.48
2026-02-06T07:00:00.000Z,  0.66
2026-02-06T08:00:00.000Z,  0.86
2026-02-06T09:00:00.000Z,  0.87
2026-02-06T10:00:00.000Z,  0.81
2026-02-06T11:00:00.000Z,  0.70
2026-02-06T12:00:00.000Z,  0.67
2026-02-06T13:00:00.000Z,  0.89
2026-02-06T14:00:00.000Z,  0.70
2026-02-06T15:00:00.000Z,  1.11
2026-02-06T16:00:00.000Z,  1.19
2026-02-06T17:00:00.000Z,  1.15
2026-02-06T18:00:00.000Z,  1.08
2026-02-06T19:00:00.000Z,  3.77
2026-02-06T20:00:00.000Z,  2.39
2026-02-06T21:00:00.000Z,  1.02
2026-02-06T22:00:00.000Z,  0.96
2026-02-06T23:00:00.000Z,  1.06
2026-02-06T00:00:00.000Z,  0.09
2026-02-06T01:00:00.000Z,  0.14
2026-02-06T02:00:00.000Z,  0.36
2026-02-06T03:00:00.000Z,  0.46
2026-02-06T04:00:00.000Z,  0.50
2026-02-06T05:00:00.000Z,  0.48
2026-02-06T06:00:00.000Z,  0.48
2026-02-06T07:00:00.000Z,  0.66
2026-02-06T08:00:00.000Z,  0.86
2026-02-06T09:00:00.000Z,  0.87
2026-02-06T10:00:00.000Z,  0.81
2026-02-06T11:00:00.000Z,  0.70
2026-02-06T12:00:00.000Z,  0.67
2026-02-06T13:00:00.000Z,  0.89
2026-02-06T14:00:00.000Z,  0.70
2026-02-06T15:00:00.000Z,  1.11
2026-02-06T16:00:00.000Z,  1.19
2026-02-06T17:00:00.000Z,  1.15
2026-02-06T18:00:00.000Z,  1.08
2026-02-06T19:00:00.000Z,  3.77
2026-02-06T20:00:00.000Z,  2.39
2026-02-06T21:00:00.000Z,  1.02
2026-02-06T22:00:00.000Z,  0.96
2026-02-06T23:00:00.000Z,  1.06
2026-02-07T00:00:00.000Z,  1.10
2026-02-07T01:00:00.000Z,  1.15
2026-02-07T02:00:00.000Z,  1.20
2026-02-07T03:00:00.000Z,  1.28
2026-02-07T04:00:00.000Z,  1.35
2026-02-07T05:00:00.000Z,  1.34
2026-02-07T06:00:00.000Z,  1.37
2026-02-07T07:00:00.000Z,  1.40
2026-02-07T08:00:00.000Z,  1.35
2026-02-07T09:00:00.000Z,  2.21
2026-02-07T10:00:00.000Z,  1.26
2026-02-07T11:00:00.000Z,  1.18
2026-02-07T12:00:00.000Z,  1.17
2026-02-07T13:00:00.000Z,  1.08
2026-02-07T14:00:00.000Z,  1.00
2026-02-07T15:00:00.000Z,  1.05
2026-02-07T16:00:00.000Z,  1.12
2026-02-07T17:00:00.000Z,  1.11
2026-02-07T18:00:00.000Z,  1.81
2026-02-07T19:00:00.000Z,  1.90
2026-02-07T20:00:00.000Z,  0.62
2026-02-07T21:00:00.000Z,  0.01
2026-02-07T22:00:00.000Z,  0.00
2026-02-07T23:00:00.000Z,  0.00
2026-02-07T00:00:00.000Z,  1.10
2026-02-07T01:00:00.000Z,  1.15
2026-02-07T02:00:00.000Z,  1.20
2026-02-07T03:00:00.000Z,  1.28
2026-02-07T04:00:00.000Z,  1.35
2026-02-07T05:00:00.000Z,  1.34
2026-02-07T06:00:00.000Z,  1.37
2026-02-07T07:00:00.000Z,  1.40
2026-02-07T08:00:00.000Z,  1.35
2026-02-07T09:00:00.000Z,  2.21
2026-02-07T10:00:00.000Z,  1.26
2026-02-07T11:00:00.000Z,  1.18
2026-02-07T12:00:00.000Z,  1.17
2026-02-07T13:00:00.000Z,  1.08
2026-02-07T14:00:00.000Z,  1.00
2026-02-07T15:00:00.000Z,  1.05
2026-02-07T16:00:00.000Z,  1.12
2026-02-07T17:00:00.000Z,  1.11
2026-02-07T18:00:00.000Z,  1.81
2026-02-07T19:00:00.000Z,  1.90
2026-02-07T20:00:00.000Z,  0.62
2026-02-07T21:00:00.000Z,  0.01
2026-02-07T22:00:00.000Z,  0.00
2026-02-07T23:00:00.000Z,  0.00
