TIME,VALUE
2026-02-15T00:00:00.000Z, 12.43
2026-02-15T01:00:00.000Z,  0.39
2026-02-15T02:00:00.000Z,  0.41
2026-02-15T03:00:00.000Z,  0.33
2026-02-15T04:00:00.000Z,  0.19
2026-02-15T05:00:00.000Z,  0.26
2026-02-15T06:00:00.000Z,  0.33
2026-02-15T07:00:00.000Z,  7.79
2026-02-15T08:00:00.000Z, 15.03
2026-02-15T09:00:00.000Z, 14.90
2026-02-15T10:00:00.000Z, 14.27
2026-02-15T11:00:00.000Z, 13.25
2026-02-15T12:00:00.000Z,  2.22
2026-02-15T13:00:00.000Z,  1.33
2026-02-15T14:00:00.000Z,  1.62
2026-02-15T15:00:00.000Z,  1.72
2026-02-15T16:00:00.000Z,  1.91
2026-02-15T17:00:00.000Z,  2.31
2026-02-15T18:00:00.000Z,  2.36
2026-02-15T19:00:00.000Z,  9.95
2026-02-15T20:00:00.000Z,  0.33
2026-02-15T21:00:00.000Z,  0.01
2026-02-15T22:00:00.000Z,  0.00
2026-02-15T23:00:00.000Z,  0.00
2026-02-15T00:00:00.000Z, 12.43
2026-02-15T01:00:00.000Z,  0.39
2026-02-15T02:00:00.000Z,  0.41
2026-02-15T03:00:00.000Z,  0.33
2026-02-15T04:00:00.000Z,  0.19
2026-02-15T05:00:00.000Z,  0.26
2026-02-15T06:00:00.000Z,  0.33
2026-02-15T07:00:00.000Z,  7.79
2026-02-15T08:00:00.000Z, 15.03
2026-02-15T09:00:00.000Z, 14.90
2026-02-15T10:00:00.000Z, 14.27
2026-02-15T11:00:00.000Z, 13.25
2026-02-15T12:00:00.000Z,  2.22
2026-02-15T13:00:00.000Z,  1.33
2026-02-15T14:00:00.000Z,  1.62
2026-02-15T15:00:00.000Z,  1.72
2026-02-15T16:00:00.000Z,  1.91
2026-02-15T17:00:00.000Z,  2.31
2026-02-15T18:00:00.000Z,  2.36
2026-02-15T19:00:00.000Z,  9.95
2026-02-15T20:00:00.000Z,  0.33
2026-02-15T21:00:00.000Z,  0.01
2026-02-15T22:00:00.000Z,  0.00
2026-02-15T23:00:00.000Z,  0.00
2026-02-16T00:00:00.000Z,  0.05
2026-02-16T01:00:00.000Z,  0.41
2026-02-16T02:00:00.000Z,  0.34
2026-02-16T03:00:00.000Z,  0.21
2026-02-16T04:00:00.000Z,  0.25
2026-02-16T05:00:00.000Z,  0.19
2026-02-16T06:00:00.000Z,  0.04
2026-02-16T07:00:00.000Z,  8.20
2026-02-16T08:00:00.000Z, 16.24
2026-02-16T09:00:00.000Z, 15.99
2026-02-16T10:00:00.000Z, 15.14
2026-02-16T11:00:00.000Z,  9.52
2026-02-16T12:00:00.000Z,  1.49
2026-02-16T13:00:00.000Z,  1.02
2026-02-16T14:00:00.000Z,  0.99
2026-02-16T15:00:00.000Z,  3.78
2026-02-16T16:00:00.000Z, 13.76
2026-02-16T17:00:00.000Z, 13.94
2026-02-16T18:00:00.000Z, 14.64
2026-02-16T19:00:00.000Z, 14.19
2026-02-16T20:00:00.000Z, 13.59
2026-02-16T21:00:00.000Z, 13.32
2026-02-16T22:00:00.000Z, 12.96
2026-02-16T23:00:00.000Z, 13.15
2026-02-16T00:00:00.000Z,  0.05
2026-02-16T01:00:00.000Z,  0.41
2026-02-16T02:00:00.000Z,  0.34
2026-02-16T03:00:00.000Z,  0.21
2026-02-16T04:00:00.000Z,  0.25
2026-02-16T05:00:00.000Z,  0.19
2026-02-16T06:00:00.000Z,  0.04
2026-02-16T07:00:00.000Z,  8.20
2026-02-16T08:00:00.000Z, 16.24
2026-02-16T09:00:00.000Z, 15.99
2026-02-16T10:00:00.000Z, 15.14
2026-02-16T11:00:00.000Z,  9.52
2026-02-16T12:00:00.000Z,  1.49
2026-02-16T13:00:00.000Z,  1.02
2026-02-16T14:00:00.000Z,  0.99
2026-02-16T15:00:00.000Z,  3.78
2026-02-16T16:00:00.000Z, 13.76
2026-02-16T17:00:00.000Z, 13.94
2026-02-16T18:00:00.000Z, 14.64
2026-02-16T19:00:00.000Z, 14.19
2026-02-16T20:00:00.000Z, 13.59
2026-02-16T21:00:00.000Z, 13.32
2026-02-16T22:00:00.000Z, 12.96
2026-02-16T23:00:00.000Z, 13.15
