TIME,VALUE
2026-03-02T00:00:00.000Z,  0.35
2026-03-02T01:00:00.000Z,  0.58
2026-03-02T02:00:00.000Z,  0.81
2026-03-02T03:00:00.000Z,  0.91
2026-03-02T04:00:00.000Z,  0.94
2026-03-02T05:00:00.000Z,  0.96
2026-03-02T06:00:00.000Z,  0.92
2026-03-02T07:00:00.000Z,  1.03
2026-03-02T08:00:00.000Z,  1.27
2026-03-02T09:00:00.000Z,  1.29
2026-03-02T10:00:00.000Z,  1.25
2026-03-02T11:00:00.000Z,  1.16
2026-03-02T12:00:00.000Z,  1.10
2026-03-02T13:00:00.000Z,  1.20
2026-03-02T14:00:00.000Z,  1.29
2026-03-02T15:00:00.000Z,  1.35
2026-03-02T16:00:00.000Z,  1.35
2026-03-02T17:00:00.000Z,  1.57
2026-03-02T18:00:00.000Z,  1.48
2026-03-02T19:00:00.000Z,  1.42
2026-03-02T20:00:00.000Z,  1.35
2026-03-02T21:00:00.000Z,  1.28
2026-03-02T22:00:00.000Z,  1.27
2026-03-02T22:00:00.000Z,  0.06
2026-03-02T23:00:00.000Z,  1.34
2026-03-02T00:00:00.000Z,  0.35
2026-03-02T01:00:00.000Z,  0.58
2026-03-02T02:00:00.000Z,  0.81
2026-03-02T03:00:00.000Z,  0.91
2026-03-02T04:00:00.000Z,  0.94
2026-03-02T05:00:00.000Z,  0.96
2026-03-02T06:00:00.000Z,  0.92
2026-03-02T07:00:00.000Z,  1.03
2026-03-02T08:00:00.000Z,  1.27
2026-03-02T09:00:00.000Z,  1.29
2026-03-02T10:00:00.000Z,  1.25
2026-03-02T11:00:00.000Z,  1.16
2026-03-02T12:00:00.000Z,  1.10
2026-03-02T13:00:00.000Z,  1.20
2026-03-02T14:00:00.000Z,  1.29
2026-03-02T15:00:00.000Z,  1.35
2026-03-02T16:00:00.000Z,  1.35
2026-03-02T17:00:00.000Z,  1.57
2026-03-02T18:00:00.000Z,  1.48
2026-03-02T19:00:00.000Z,  1.42
2026-03-02T20:00:00.000Z,  1.35
2026-03-02T21:00:00.000Z,  1.28
2026-03-02T22:00:00.000Z,  1.27
2026-03-02T22:00:00.000Z,  0.06
2026-03-02T23:00:00.000Z,  1.34
2026-03-03T00:00:00.000Z,  1.53
2026-03-03T01:00:00.000Z,  1.66
2026-03-03T02:00:00.000Z,  1.69
2026-03-03T03:00:00.000Z,  1.71
2026-03-03T04:00:00.000Z,  1.74
2026-03-03T05:00:00.000Z,  1.82
2026-03-03T06:00:00.000Z,  1.70
2026-03-03T07:00:00.000Z,  1.62
2026-03-03T08:00:00.000Z,  1.96
2026-03-03T09:00:00.000Z,  2.61
2026-03-03T10:00:00.000Z,  2.56
2026-03-03T11:00:00.000Z,  2.49
2026-03-03T12:00:00.000Z,  2.36
2026-03-03T13:00:00.000Z,  2.23
2026-03-03T14:00:00.000Z,  0.54
2026-03-03T15:00:00.000Z,  0.15
2026-03-03T16:00:00.000Z,  0.20
2026-03-03T17:00:00.000Z,  0.54
2026-03-03T18:00:00.000Z,  0.48
2026-03-03T19:00:00.000Z,  0.04
2026-03-03T20:00:00.000Z,  0.00
2026-03-03T21:00:00.000Z,  0.00
2026-03-03T22:00:00.000Z,  0.00
2026-03-03T23:00:00.000Z,  0.00
2026-03-03T00:00:00.000Z,  1.53
2026-03-03T01:00:00.000Z,  1.66
2026-03-03T02:00:00.000Z,  1.69
2026-03-03T03:00:00.000Z,  1.71
2026-03-03T04:00:00.000Z,  1.74
2026-03-03T05:00:00.000Z,  1.82
2026-03-03T06:00:00.000Z,  1.70
2026-03-03T07:00:00.000Z,  1.62
2026-03-03T08:00:00.000Z,  1.96
2026-03-03T09:00:00.000Z,  2.61
2026-03-03T10:00:00.000Z,  2.56
2026-03-03T11:00:00.000Z,  2.49
2026-03-03T12:00:00.000Z,  2.36
2026-03-03T13:00:00.000Z,  2.23
2026-03-03T14:00:00.000Z,  0.54
2026-03-03T15:00:00.000Z,  0.15
2026-03-03T16:00:00.000Z,  0.20
2026-03-03T17:00:00.000Z,  0.54
2026-03-03T18:00:00.000Z,  0.48
2026-03-03T19:00:00.000Z,  0.04
2026-03-03T20:00:00.000Z,  0.00
2026-03-03T21:00:00.000Z,  0.00
2026-03-03T22:00:00.000Z,  0.00
2026-03-03T23:00:00.000Z,  0.00
