fecha,cliente,establecimiento,colegio,nodeId,nodeName,horas_detectadas,consumo_max_hora
2026-05-25,RENCA,CUMBRE DE CONDORES PONIENTE,000017-07,000017-07,CUMBRE DE CONDORES PONIENTE,04:00-05:00,0.6
2026-05-25,RENCA,CUMBRE DE CONDORES ORIENTE,000017-08,000017-08,CUMBRE DE CONDORES ORIENTE,02:00; 04:00-05:00,3.1
2026-05-25,RENCA,ESCUELA LO VELAZQUEZ,000017-04,000017-04,ESCUELA LO VELAZQUEZ,04:00-05:00,0.2
2026-05-25,CORMUP,ANTONIO HERMIDA FABRES,000008-01,000008-01,ANTONIO HERMIDA FABRES,04:00-05:00,0.2
2026-05-25,CORMUP,CE VALLE HERMOSO,000008-11,000008-11,CE VALLE HERMOSO,04:00-05:00,2.45
2026-05-25,CORMUP,TOBALABA,000008-04,000008-04,TOBALABA,03:00-05:00,7.0
2026-05-25,CORMUP,CARLOS FERNANDEZ PEÑA,000008-03,000008-03,CARLOS FERNANDEZ PEÑA,04:00-05:00,1.1
2026-05-25,CORMUP,LUIS ARRIETA CAÑAS,000008-06,000008-06,LUIS ARRIETA CAÑAS,01:00-03:00,1.2
2026-05-25,CORMUP,JUAN BAUTISTA PASTENES,000008-09,000008-09,JUAN BAUTISTA PASTENES,04:00-05:00,2.8
2026-05-25,CORMUP,UNION NACIONAL ARABE,000008-12,000008-12,UNION NACIONAL ARABE,04:00-05:00,5.33
2026-05-25,CORMUP,ERASMO ESCALA,000008-07,000008-07,ERASMO ESCALA,04:00-05:00,0.11
2026-05-25,CORMUP,SANTAMARIA,000008-05,000008-05,SANTAMARIA,04:00-05:00,0.92
2026-05-25,CORMUP,JUAN PABLO 2,000008-14,000008-14,JUAN PABLO 2,04:00-05:00,0.32
2026-05-25,CORMUP,MATILDE HUICI NAVAS,000008-10,000008-10,MATILDE HUICI NAVAS,04:00-05:00,0.3
2026-05-25,LA REINA,DE HOSTOS,000024-01,000024-01,DE HOSTOS,03:00-05:00,1.4
2026-05-25,PROVIDENCIA,LASTARRIA,000006-01,000006-01,LASTARRIA,00:00-05:00,0.9
2026-05-25,PROVIDENCIA,CARMELA CARVAJAL,000006-02,000006-02,CARMELA CARVAJAL,02:00-04:00,0.9
2026-05-25,LAS CONDES,COLEGIO FLEMING,000022-00,000022-00,COLEGIO FLEMING,00:00-05:00,64.04
2026-05-25,DERCO,Quilicura Matriz Principal,000012-06,000012-06,Quilicura Matriz Principal,04:00-05:00,3.72
2026-05-25,AGUNSA,Modulo D,000020-02,000020-02,Modulo D,04:00-05:00,1.7
