fecha,cliente,establecimiento,colegio,nodeId,nodeName,horas_detectadas,consumo_max_hora
2026-03-25,RENCA,CUMBRE DE CONDORES ORIENTE,000017-08,000017-08,CUMBRE DE CONDORES ORIENTE,23:00,0.1
2026-03-25,CORMUP,ANTONIO HERMIDA FABRES,000008-01,000008-01,ANTONIO HERMIDA FABRES,00:00-06:00,1.3
2026-03-25,CORMUP,CARLOS FERNANDEZ PEÑA,000008-03,000008-03,CARLOS FERNANDEZ PEÑA,00:00-05:00,0.16
2026-03-25,CORMUP,MATILDE HUICI NAVAS,000008-10,000008-10,MATILDE HUICI NAVAS,00:00-02:00; 04:00-05:00,0.2
2026-03-25,PROVIDENCIA,LASTARRIA,000006-01,000006-01,LASTARRIA,23:00,0.9
2026-03-25,PROVIDENCIA,CARMELA CARVAJAL,000006-02,000006-02,CARMELA CARVAJAL,00:00-05:00,0.2
2026-03-25,PROVIDENCIA,LICEO N°7,000006-04,000006-04,LICEO N°7,00:00-06:00,0.2
2026-03-25,PARQUE ARAUCO,Estanque Norte Locales Mall,000025-01,000025-01,Estanque Norte Locales Mall,01:00,1.19
2026-03-25,PARQUE ARAUCO,Abastecimiento Sur Terminal,000025-02,000025-02,Abastecimiento Sur Terminal,00:00; 03:00; 05:00,2.29
2026-03-25,PARQUE ARAUCO,Baños Públicos,000025-04,000025-04,Baños Públicos,02:00,0.31
2026-03-25,PARQUE ARAUCO,Placa Bancaria,000025-08,000025-08,Placa Bancaria,01:00; 05:00,0.01
2026-03-25,PARQUE ARAUCO,Impulsión Falabella,000025-09,000025-09,Impulsión Falabella,00:00,2.55
2026-03-25,PARQUE ARAUCO,Impulsión Ripley,000025-10,000025-10,Impulsión Ripley,00:00-05:00,6.33
2026-03-25,PARQUE ARAUCO,Anillo Plaza,000025-12,000025-12,Anillo Plaza,00:00-02:00; 04:00-05:00,2.28
2026-03-25,PARQUE ARAUCO,Matriz Principal,000025-13,000025-13,Matriz Principal,00:00-05:00,1.83
2026-03-25,PARQUE ARAUCO,Matriz Principal,000025-15,000025-15,Matriz Principal,00:00-05:00,0.1
2026-03-25,PARQUE ARAUCO,San Ignacio 300,000025-17,000025-17,San Ignacio 300,00:00-01:00,0.03
2026-03-25,PARQUE ARAUCO,San Ignacio 500,000025-18,000025-18,San Ignacio 500,00:00-05:00,0.42
2026-03-25,PARQUE ARAUCO,Sala de Bomba Estanque Sur,000025-19,000025-19,Sala de Bomba Estanque Sur,00:00-02:00; 04:00-05:00,0.95
2026-03-25,PARQUE ARAUCO,Impulsión Anden 3-4 Matriz Principal,000025-20,000025-20,Impulsión Anden 3-4 Matriz Principal,00:00,2.9
2026-03-25,PARQUE ARAUCO,Impulsión Anden 3-4 Locales Gast.,000025-21,000025-21,Impulsión Anden 3-4 Locales Gast.,00:00,5.8
2026-03-25,PARQUE ARAUCO,Sala de Bomba Sandia Antigua,000025-22,000025-22,Sala de Bomba Sandia Antigua,00:00-03:00,19.0
2026-03-25,PARQUE ARAUCO,Llenado Pileta,000025-23,000025-23,Llenado Pileta,04:00,0.01
2026-03-25,PARQUE ARAUCO,Llenado Pileta Cascada,000025-24,000025-24,Llenado Pileta Cascada,00:00-05:00,0.06
2026-03-25,PARQUE ARAUCO,Baño N°5 Damas,000025-25,000025-25,Baño N°5 Damas,00:00-02:00; 04:00-05:00,0.01
2026-03-25,PARQUE ARAUCO,Distrito de lujo DL,000025-27,000025-27,Distrito de lujo DL,00:00-03:00,21.1
2026-03-25,PARQUE ARAUCO,Sala de Bomba Sandia Nueva,000025-28,000025-28,Sala de Bomba Sandia Nueva,00:00-05:00,14.0
2026-03-25,PARQUE ARAUCO,Impulsión Anden 3-4 Restaurante,000025-29,000025-29,Impulsión Anden 3-4 Restaurante,00:00-03:00,1.36
2026-03-25,PARQUE ARAUCO,Matriz A.A,000025-30,000025-30,Matriz A.A,01:00; 04:00,6.8
