fecha,cliente,establecimiento,colegio,nodeId,nodeName,horas_con_consumo_corte,consumo_max_hora_corte
2026-03-20,LA FLORIDA,LICEO ALTO CORDILLERA,000028-01,000028-01,LICEO ALTO CORDILLERA,00:00(4.230); 01:00(4.260); 02:00(4.330); 03:00(4.340); 04:00(4.340); 05:00(4.340); 06:00(4.300),4.34
2026-03-20,RENCA,CUMBRE DE CONDORES PONIENTE,000017-07,000017-07,CUMBRE DE CONDORES PONIENTE,04:00(0.100),0.1
2026-03-20,CORMUP,TOBALABA,000008-04,000008-04,TOBALABA,00:00(3.300); 01:00(3.200); 02:00(3.300); 03:00(3.200); 04:00(3.200); 05:00(3.200); 06:00(3.400),3.4
2026-03-20,CORMUP,CARLOS FERNANDEZ PEÑA,000008-03,000008-03,CARLOS FERNANDEZ PEÑA,00:00(0.130); 01:00(0.120); 02:00(0.130); 03:00(0.130); 04:00(0.140); 05:00(0.130); 06:00(0.140),0.14
2026-03-20,CORMUP,JUAN BAUTISTA PASTENES,000008-09,000008-09,JUAN BAUTISTA PASTENES,00:00(0.600); 01:00(0.500); 02:00(0.500); 03:00(0.600); 04:00(0.500); 05:00(0.500); 06:00(0.600),0.6
2026-03-20,CORMUP,ERASMO ESCALA,000008-07,000008-07,ERASMO ESCALA,00:00(1.050); 01:00(0.650); 02:00(0.790); 03:00(0.710); 04:00(0.640); 05:00(0.620); 06:00(0.750),1.05
2026-03-20,CORMUP,SANTAMARIA,000008-05,000008-05,SANTAMARIA,00:00(0.070); 02:00(0.150); 03:00(0.080); 06:00(0.020),0.15
2026-03-20,CORMUP,MATILDE HUICI NAVAS,000008-10,000008-10,MATILDE HUICI NAVAS,00:00(0.010); 02:00(0.090); 03:00(0.160); 04:00(0.070),0.16
2026-03-20,LAS CONDES,COLEGIO FLEMING,000022-00,000022-00,COLEGIO FLEMING,00:00(64.000); 01:00(64.000); 02:00(64.000); 03:00(64.000); 05:00(64.000); 06:00(64.000),64.0
