fecha,cliente,establecimiento,colegio,nodeId,nodeName,horas_con_consumo_corte,consumo_max_hora_corte
2026-03-18,LA FLORIDA,LICEO ALTO CORDILLERA,000028-01,000028-01,LICEO ALTO CORDILLERA,22:00(4.020); 23:00(4.090); 00:00(4.250); 01:00(4.270); 02:00(4.350); 03:00(4.380); 04:00(4.360); 05:00(4.360); 06:00(4.300),4.38
2026-03-18,CORMUP,ANTONIO HERMIDA FABRES,000008-01,000008-01,ANTONIO HERMIDA FABRES,00:00(2.100); 01:00(4.800); 02:00(5.000); 03:00(4.900); 04:00(5.000); 05:00(5.200); 06:00(5.100),5.2
2026-03-18,CORMUP,TOBALABA,000008-04,000008-04,TOBALABA,00:00(3.100); 01:00(3.000); 02:00(3.000); 03:00(3.000); 04:00(3.000); 05:00(3.200); 06:00(3.100),3.2
2026-03-18,CORMUP,CARLOS FERNANDEZ PEÑA,000008-03,000008-03,CARLOS FERNANDEZ PEÑA,00:00(0.330); 01:00(0.330); 02:00(0.320); 03:00(0.340); 04:00(0.330); 05:00(0.340); 06:00(0.330),0.34
2026-03-18,CORMUP,JUAN BAUTISTA PASTENES,000008-09,000008-09,JUAN BAUTISTA PASTENES,00:00(0.500); 01:00(0.400); 02:00(0.500); 03:00(0.500); 04:00(0.600); 05:00(0.500); 06:00(0.500),0.6
2026-03-18,CORMUP,ERASMO ESCALA,000008-07,000008-07,ERASMO ESCALA,00:00(1.100); 01:00(1.140); 02:00(0.960); 03:00(0.720); 04:00(0.640); 05:00(0.770); 06:00(0.730),1.14
2026-03-18,CORMUP,SANTAMARIA,000008-05,000008-05,SANTAMARIA,00:00(0.080); 01:00(0.110); 02:00(0.070),0.11
2026-03-18,CORMUP,MATILDE HUICI NAVAS,000008-10,000008-10,MATILDE HUICI NAVAS,00:00(0.050); 01:00(0.360); 02:00(0.040); 05:00(0.060); 06:00(0.030),0.36
2026-03-18,LA REINA,DE HOSTOS,000024-01,000024-01,DE HOSTOS,23:00(1.000); 00:00(0.100),1.0
2026-03-18,PROVIDENCIA,LASTARRIA,000006-01,000006-01,LASTARRIA,23:00(0.200),0.2
2026-03-18,LAS CONDES,COLEGIO FLEMING,000022-00,000022-00,COLEGIO FLEMING,23:00(0.110); 00:00(0.080); 01:00(0.070); 02:00(0.080); 03:00(0.080); 04:00(0.080); 05:00(0.090); 06:00(0.070),0.11
