fecha,cliente,establecimiento,colegio,nodeId,nodeName,horas_detectadas,consumo_max_hora
2026-04-13,RENCA,CUMBRE DE CONDORES PONIENTE,000017-07,000017-07,CUMBRE DE CONDORES PONIENTE,01:00,0.1
2026-04-13,RENCA,CUMBRE DE CONDORES ORIENTE,000017-08,000017-08,CUMBRE DE CONDORES ORIENTE,00:00-06:00,1.5
2026-04-13,CORMUP,CARLOS FERNANDEZ PEÑA,000008-03,000008-03,CARLOS FERNANDEZ PEÑA,00:00-05:00,0.15
2026-04-13,CORMUP,ERASMO ESCALA,000008-07,000008-07,ERASMO ESCALA,01:00-05:00,0.4
2026-04-13,LA REINA,DE HOSTOS,000024-01,000024-01,DE HOSTOS,00:00,0.1
2026-04-13,PROVIDENCIA,CARMELA CARVAJAL,000006-02,000006-02,CARMELA CARVAJAL,05:00,0.1
2026-04-13,PROVIDENCIA,LICEO N°7,000006-04,000006-04,LICEO N°7,00:00-06:00,0.2
2026-04-13,LAS CONDES,COLEGIO FLEMING,000022-00,000022-00,COLEGIO FLEMING,00:00-06:00,64.0
2026-04-13,DERCO,Quilicura Matriz Principal,000012-06,000012-06,Quilicura Matriz Principal,00:00,3.79
2026-04-13,AGUNSA,Modulo D,000020-02,000020-02,Modulo D,00:00-01:00; 06:00,3.32
