fecha,cliente,establecimiento,colegio,nodeId,nodeName,horas_detectadas,consumo_max_hora
2026-04-07,LA FLORIDA,LICEO ALTO CORDILLERA,000028-01,000028-01,LICEO ALTO CORDILLERA,00:00-06:00,3.95
2026-04-07,RENCA,CUMBRE DE CONDORES PONIENTE,000017-07,000017-07,CUMBRE DE CONDORES PONIENTE,00:00-04:00; 06:00,0.1
2026-04-07,RENCA,CUMBRE DE CONDORES ORIENTE,000017-08,000017-08,CUMBRE DE CONDORES ORIENTE,00:00-06:00,1.9
2026-04-07,CORMUP,ANTONIO HERMIDA FABRES,000008-01,000008-01,ANTONIO HERMIDA FABRES,00:00-06:00,1.2
2026-04-07,CORMUP,TOBALABA,000008-04,000008-04,TOBALABA,01:00-05:00,4.9
2026-04-07,CORMUP,CARLOS FERNANDEZ PEÑA,000008-03,000008-03,CARLOS FERNANDEZ PEÑA,00:00-05:00,1.02
2026-04-07,CORMUP,MATILDE HUICI NAVAS,000008-10,000008-10,MATILDE HUICI NAVAS,00:00-01:00; 05:00,0.3
2026-04-07,PROVIDENCIA,CARMELA CARVAJAL,000006-02,000006-02,CARMELA CARVAJAL,05:00,0.1
2026-04-07,PROVIDENCIA,LICEO N°7,000006-04,000006-04,LICEO N°7,00:00-06:00,0.2
2026-04-07,LAS CONDES,COLEGIO FLEMING,000022-00,000022-00,COLEGIO FLEMING,01:00-06:00,64.0
2026-04-07,DERCO,Quilicura Matriz Principal,000012-06,000012-06,Quilicura Matriz Principal,00:00; 03:00,5.8
