fecha,cliente,establecimiento,colegio,nodeId,nodeName,horas_detectadas,consumo_max_hora
2026-04-01,LA FLORIDA,LICEO ALTO CORDILLERA,000028-01,000028-01,LICEO ALTO CORDILLERA,00:00-06:00,3.95
2026-04-01,CORMUP,ANTONIO HERMIDA FABRES,000008-01,000008-01,ANTONIO HERMIDA FABRES,00:00-06:00,1.2
2026-04-01,CORMUP,TOBALABA,000008-04,000008-04,TOBALABA,01:00-05:00,4.8
2026-04-01,CORMUP,CARLOS FERNANDEZ PEÑA,000008-03,000008-03,CARLOS FERNANDEZ PEÑA,00:00-05:00,1.23
2026-04-01,PROVIDENCIA,LASTARRIA,000006-01,000006-01,LASTARRIA,00:00-06:00,0.2
2026-04-01,PROVIDENCIA,CARMELA CARVAJAL,000006-02,000006-02,CARMELA CARVAJAL,01:00,0.1
2026-04-01,PROVIDENCIA,LICEO N°7,000006-04,000006-04,LICEO N°7,00:00-06:00,0.2
2026-04-01,LAS CONDES,COLEGIO FLEMING,000022-00,000022-00,COLEGIO FLEMING,00:00-06:00,64.04
2026-04-01,PARQUE ARAUCO,Estanque Norte Locales Mall,000025-01,000025-01,Estanque Norte Locales Mall,00:00-03:00; 05:00,1.12
2026-04-01,PARQUE ARAUCO,Abastecimiento Sur Terminal,000025-02,000025-02,Abastecimiento Sur Terminal,02:00; 05:00,2.5
2026-04-01,PARQUE ARAUCO,Baños Públicos,000025-04,000025-04,Baños Públicos,00:00-01:00; 03:00; 05:00,0.38
2026-04-01,PARQUE ARAUCO,PIZZA HUT,000025-07,000025-07,PIZZA HUT,00:00; 03:00-05:00,1.2
2026-04-01,PARQUE ARAUCO,Placa Bancaria,000025-08,000025-08,Placa Bancaria,00:00-03:00,1.93
2026-04-01,PARQUE ARAUCO,Anillo Plaza,000025-12,000025-12,Anillo Plaza,00:00; 02:00; 04:00-05:00,2.09
2026-04-01,PARQUE ARAUCO,Matriz Principal,000025-13,000025-13,Matriz Principal,00:00-05:00,2.1
2026-04-01,PARQUE ARAUCO,Matriz Principal,000025-15,000025-15,Matriz Principal,00:00-05:00,0.1
2026-04-01,PARQUE ARAUCO,San Ignacio 500,000025-18,000025-18,San Ignacio 500,00:00-05:00,0.36
2026-04-01,PARQUE ARAUCO,Sala de Bomba Estanque Sur,000025-19,000025-19,Sala de Bomba Estanque Sur,00:00,0.93
2026-04-01,PARQUE ARAUCO,Impulsión Anden 3-4 Locales Gast.,000025-21,000025-21,Impulsión Anden 3-4 Locales Gast.,00:00,2.5
2026-04-01,PARQUE ARAUCO,Llenado Pileta,000025-23,000025-23,Llenado Pileta,00:00; 04:00,0.01
2026-04-01,PARQUE ARAUCO,Llenado Pileta Cascada,000025-24,000025-24,Llenado Pileta Cascada,00:00-05:00,0.06
2026-04-01,PARQUE ARAUCO,Sala de Bomba Sandia Nueva,000025-28,000025-28,Sala de Bomba Sandia Nueva,00:00-05:00,12.2
2026-04-01,PARQUE ARAUCO,Matriz A.A,000025-30,000025-30,Matriz A.A,02:00; 05:00,5.8
