fecha,cliente,establecimiento,colegio,nodeId,nodeName,horas_con_consumo_corte,consumo_max_hora_corte
2026-03-19,LA FLORIDA,LICEO ALTO CORDILLERA,000028-01,000028-01,LICEO ALTO CORDILLERA,22:00(4.080); 23:00(4.070); 00:00(4.210); 01:00(4.200); 02:00(4.300); 03:00(4.320); 04:00(4.340); 05:00(4.330); 06:00(4.270),4.34
2026-03-19,CORMUP,ANTONIO HERMIDA FABRES,000008-01,000008-01,ANTONIO HERMIDA FABRES,00:00(0.300),0.3
2026-03-19,CORMUP,TOBALABA,000008-04,000008-04,TOBALABA,00:00(3.100); 01:00(3.700); 02:00(3.300); 03:00(3.300); 04:00(3.400); 05:00(3.200); 06:00(3.300),3.7
2026-03-19,CORMUP,CARLOS FERNANDEZ PEÑA,000008-03,000008-03,CARLOS FERNANDEZ PEÑA,00:00(0.300); 01:00(0.310); 02:00(0.300); 03:00(0.310); 04:00(0.300); 05:00(0.320); 06:00(0.300),0.32
2026-03-19,CORMUP,JUAN BAUTISTA PASTENES,000008-09,000008-09,JUAN BAUTISTA PASTENES,00:00(0.500); 01:00(0.600); 02:00(0.500); 03:00(0.500); 04:00(0.600); 05:00(0.500); 06:00(0.600),0.6
2026-03-19,CORMUP,ERASMO ESCALA,000008-07,000008-07,ERASMO ESCALA,00:00(0.820); 01:00(0.790); 02:00(0.670); 03:00(0.810); 04:00(0.720); 05:00(0.730); 06:00(0.660),0.82
2026-03-19,CORMUP,SANTAMARIA,000008-05,000008-05,SANTAMARIA,00:00(0.040); 01:00(0.130),0.13
2026-03-19,CORMUP,MATILDE HUICI NAVAS,000008-10,000008-10,MATILDE HUICI NAVAS,00:00(0.230); 01:00(0.170); 02:00(0.390); 03:00(0.060),0.39
2026-03-19,LA REINA,DE HOSTOS,000024-01,000024-01,DE HOSTOS,23:00(1.400); 00:00(0.100),1.4
2026-03-19,PROVIDENCIA,LASTARRIA,000006-01,000006-01,LASTARRIA,23:00(0.100),0.1
2026-03-19,LAS CONDES,COLEGIO FLEMING,000022-00,000022-00,COLEGIO FLEMING,23:00(64.000); 00:00(0.110); 01:00(0.110); 02:00(0.110); 03:00(0.110); 04:00(0.120); 05:00(0.110); 06:00(0.110),64.0
