TIME,VALUE
2026-02-24T00:00:00.000Z,  1.90
2026-02-24T01:00:00.000Z, 88.57
2026-02-24T02:00:00.000Z, 30.67
2026-02-24T03:00:00.000Z,  0.00
2026-02-24T04:00:00.000Z,  0.00
2026-02-24T05:00:00.000Z,  0.00
2026-02-24T06:00:00.000Z,  0.11
2026-02-24T07:00:00.000Z,  0.01
2026-02-24T08:00:00.000Z,  0.06
2026-02-24T09:00:00.000Z,  0.01
2026-02-24T10:00:00.000Z,  0.49
2026-02-24T11:00:00.000Z,  0.42
2026-02-24T12:00:00.000Z,  0.65
2026-02-24T13:00:00.000Z,  0.93
2026-02-24T14:00:00.000Z,  0.39
2026-02-24T15:00:00.000Z,  0.63
2026-02-24T16:00:00.000Z,  0.19
2026-02-24T17:00:00.000Z,  0.91
2026-02-24T18:00:00.000Z,  1.55
2026-02-24T19:00:00.000Z,  1.96
2026-02-24T20:00:00.000Z,  2.77
2026-02-24T21:00:00.000Z,  2.51
2026-02-24T22:00:00.000Z, 67.52
2026-02-24T23:00:00.000Z, 27.05
2026-02-24T00:00:00.000Z,  1.90
2026-02-24T01:00:00.000Z, 88.57
2026-02-24T02:00:00.000Z, 30.67
2026-02-24T03:00:00.000Z,  0.00
2026-02-24T04:00:00.000Z,  0.00
2026-02-24T05:00:00.000Z,  0.00
2026-02-24T06:00:00.000Z,  0.11
2026-02-24T07:00:00.000Z,  0.01
2026-02-24T08:00:00.000Z,  0.06
2026-02-24T09:00:00.000Z,  0.01
2026-02-24T10:00:00.000Z,  0.49
2026-02-24T11:00:00.000Z,  0.42
2026-02-24T12:00:00.000Z,  0.65
2026-02-24T13:00:00.000Z,  0.93
2026-02-24T14:00:00.000Z,  0.39
2026-02-24T15:00:00.000Z,  0.63
2026-02-24T16:00:00.000Z,  0.19
2026-02-24T17:00:00.000Z,  0.91
2026-02-24T18:00:00.000Z,  1.55
2026-02-24T19:00:00.000Z,  1.96
2026-02-24T20:00:00.000Z,  2.77
2026-02-24T21:00:00.000Z,  2.51
2026-02-24T22:00:00.000Z, 67.52
2026-02-24T23:00:00.000Z, 27.05
2026-02-25T00:00:00.000Z,  0.00
2026-02-25T01:00:00.000Z,  0.00
2026-02-25T02:00:00.000Z,  0.00
2026-02-25T03:00:00.000Z,  0.02
2026-02-25T04:00:00.000Z,  0.00
2026-02-25T05:00:00.000Z,  0.00
2026-02-25T06:00:00.000Z,  0.02
2026-02-25T07:00:00.000Z,  0.00
2026-02-25T08:00:00.000Z,  0.03
2026-02-25T09:00:00.000Z,  0.03
2026-02-25T10:00:00.000Z,  0.09
2026-02-25T11:00:00.000Z,  0.09
2026-02-25T12:00:00.000Z,  0.00
2026-02-25T13:00:00.000Z,  0.33
2026-02-25T14:00:00.000Z,  0.16
2026-02-25T15:00:00.000Z,  0.02
2026-02-25T16:00:00.000Z,  0.27
2026-02-25T17:00:00.000Z,  0.48
2026-02-25T18:00:00.000Z,  0.48
2026-02-25T19:00:00.000Z,  0.05
2026-02-25T20:00:00.000Z,  0.38
2026-02-25T21:00:00.000Z,  0.16
2026-02-25T22:00:00.000Z,  0.15
2026-02-25T23:00:00.000Z,  0.05
2026-02-25T00:00:00.000Z,  0.00
2026-02-25T01:00:00.000Z,  0.00
2026-02-25T02:00:00.000Z,  0.00
2026-02-25T03:00:00.000Z,  0.02
2026-02-25T04:00:00.000Z,  0.00
2026-02-25T05:00:00.000Z,  0.00
2026-02-25T06:00:00.000Z,  0.02
2026-02-25T07:00:00.000Z,  0.00
2026-02-25T08:00:00.000Z,  0.03
2026-02-25T09:00:00.000Z,  0.03
2026-02-25T10:00:00.000Z,  0.09
2026-02-25T11:00:00.000Z,  0.09
2026-02-25T12:00:00.000Z,  0.00
2026-02-25T13:00:00.000Z,  0.33
2026-02-25T14:00:00.000Z,  0.16
2026-02-25T15:00:00.000Z,  0.02
2026-02-25T16:00:00.000Z,  0.27
2026-02-25T17:00:00.000Z,  0.48
2026-02-25T18:00:00.000Z,  0.48
2026-02-25T19:00:00.000Z,  0.05
2026-02-25T20:00:00.000Z,  0.38
2026-02-25T21:00:00.000Z,  0.16
2026-02-25T22:00:00.000Z,  0.15
2026-02-25T23:00:00.000Z,  0.05
