TIME,VALUE
2026-03-02T00:00:00.000Z,  0.16
2026-03-02T01:00:00.000Z,  0.10
2026-03-02T02:00:00.000Z,  0.22
2026-03-02T03:00:00.000Z,  0.08
2026-03-02T04:00:00.000Z,  0.00
2026-03-02T05:00:00.000Z,  0.00
2026-03-02T06:00:00.000Z,  0.00
2026-03-02T07:00:00.000Z,  0.00
2026-03-02T08:00:00.000Z,  0.01
2026-03-02T09:00:00.000Z,  0.11
2026-03-02T10:00:00.000Z,  0.01
2026-03-02T11:00:00.000Z,  0.04
2026-03-02T12:00:00.000Z,  0.00
2026-03-02T13:00:00.000Z,  0.17
2026-03-02T14:00:00.000Z,  0.15
2026-03-02T15:00:00.000Z, 29.53
2026-03-02T16:00:00.000Z, 33.97
2026-03-02T17:00:00.000Z,  0.30
2026-03-02T18:00:00.000Z,  0.03
2026-03-02T19:00:00.000Z,  0.03
2026-03-02T20:00:00.000Z,  0.33
2026-03-02T21:00:00.000Z,  0.37
2026-03-02T22:00:00.000Z,  0.44
2026-03-02T23:00:00.000Z,  0.46
2026-03-02T00:00:00.000Z,  0.16
2026-03-02T01:00:00.000Z,  0.10
2026-03-02T02:00:00.000Z,  0.22
2026-03-02T03:00:00.000Z,  0.08
2026-03-02T04:00:00.000Z,  0.00
2026-03-02T05:00:00.000Z,  0.00
2026-03-02T06:00:00.000Z,  0.00
2026-03-02T07:00:00.000Z,  0.00
2026-03-02T08:00:00.000Z,  0.01
2026-03-02T09:00:00.000Z,  0.11
2026-03-02T10:00:00.000Z,  0.01
2026-03-02T11:00:00.000Z,  0.04
2026-03-02T12:00:00.000Z,  0.00
2026-03-02T13:00:00.000Z,  0.17
2026-03-02T14:00:00.000Z,  0.15
2026-03-02T15:00:00.000Z, 29.53
2026-03-02T16:00:00.000Z, 33.97
2026-03-02T17:00:00.000Z,  0.30
2026-03-02T18:00:00.000Z,  0.03
2026-03-02T19:00:00.000Z,  0.03
2026-03-02T20:00:00.000Z,  0.33
2026-03-02T21:00:00.000Z,  0.37
2026-03-02T22:00:00.000Z,  0.44
2026-03-02T23:00:00.000Z,  0.46
2026-03-03T00:00:00.000Z,  0.28
2026-03-03T01:00:00.000Z,  0.24
2026-03-03T02:00:00.000Z,  0.09
2026-03-03T03:00:00.000Z,  0.06
2026-03-03T04:00:00.000Z,  0.00
2026-03-03T05:00:00.000Z,  0.00
2026-03-03T06:00:00.000Z,  0.00
2026-03-03T07:00:00.000Z,  0.00
2026-03-03T08:00:00.000Z,  0.00
2026-03-03T09:00:00.000Z,  0.01
2026-03-03T10:00:00.000Z,  0.03
2026-03-03T11:00:00.000Z,  0.60
2026-03-03T12:00:00.000Z,  1.05
2026-03-03T13:00:00.000Z,  1.96
2026-03-03T14:00:00.000Z,  1.60
2026-03-03T15:00:00.000Z,  1.24
2026-03-03T16:00:00.000Z,  1.16
2026-03-03T17:00:00.000Z,  1.17
2026-03-03T18:00:00.000Z,  0.83
2026-03-03T19:00:00.000Z,  1.06
2026-03-03T20:00:00.000Z,  2.24
2026-03-03T21:00:00.000Z,  0.71
2026-03-03T22:00:00.000Z,  0.62
2026-03-03T23:00:00.000Z,  0.70
2026-03-03T00:00:00.000Z,  0.28
2026-03-03T01:00:00.000Z,  0.24
2026-03-03T02:00:00.000Z,  0.09
2026-03-03T03:00:00.000Z,  0.06
2026-03-03T04:00:00.000Z,  0.00
2026-03-03T05:00:00.000Z,  0.00
2026-03-03T06:00:00.000Z,  0.00
2026-03-03T07:00:00.000Z,  0.00
2026-03-03T08:00:00.000Z,  0.00
2026-03-03T09:00:00.000Z,  0.01
2026-03-03T10:00:00.000Z,  0.03
2026-03-03T11:00:00.000Z,  0.60
2026-03-03T12:00:00.000Z,  1.05
2026-03-03T13:00:00.000Z,  1.96
2026-03-03T14:00:00.000Z,  1.60
2026-03-03T15:00:00.000Z,  1.24
2026-03-03T16:00:00.000Z,  1.16
2026-03-03T17:00:00.000Z,  1.17
2026-03-03T18:00:00.000Z,  0.83
2026-03-03T19:00:00.000Z,  1.06
2026-03-03T20:00:00.000Z,  2.24
2026-03-03T21:00:00.000Z,  0.71
2026-03-03T22:00:00.000Z,  0.62
2026-03-03T23:00:00.000Z,  0.70
