TIME,VALUE
2026-03-20T00:00:00.000Z,  0.19
2026-03-20T01:00:00.000Z,  0.10
2026-03-20T02:00:00.000Z,  0.00
2026-03-20T03:00:00.000Z,  0.00
2026-03-20T04:00:00.000Z,  0.00
2026-03-20T05:00:00.000Z,  0.00
2026-03-20T06:00:00.000Z,  0.23
2026-03-20T07:00:00.000Z,  0.38
2026-03-20T08:00:00.000Z,  0.52
2026-03-20T09:00:00.000Z,  0.51
2026-03-20T10:00:00.000Z,  0.53
2026-03-20T11:00:00.000Z,  0.54
2026-03-20T12:00:00.000Z,  0.51
2026-03-20T13:00:00.000Z,  0.43
2026-03-20T14:00:00.000Z,  0.39
2026-03-20T15:00:00.000Z,  0.46
2026-03-20T16:00:00.000Z,  0.57
2026-03-20T17:00:00.000Z,  0.37
2026-03-20T18:00:00.000Z,  0.08
2026-03-20T19:00:00.000Z,  0.34
2026-03-20T20:00:00.000Z,  0.71
2026-03-20T21:00:00.000Z,  0.74
2026-03-20T22:00:00.000Z,  0.71
2026-03-20T23:00:00.000Z,  0.66
2026-03-20T00:00:00.000Z,  0.19
2026-03-20T01:00:00.000Z,  0.10
2026-03-20T02:00:00.000Z,  0.00
2026-03-20T03:00:00.000Z,  0.00
2026-03-20T04:00:00.000Z,  0.00
2026-03-20T05:00:00.000Z,  0.00
2026-03-20T06:00:00.000Z,  0.23
2026-03-20T07:00:00.000Z,  0.38
2026-03-20T08:00:00.000Z,  0.52
2026-03-20T09:00:00.000Z,  0.51
2026-03-20T10:00:00.000Z,  0.53
2026-03-20T11:00:00.000Z,  0.54
2026-03-20T12:00:00.000Z,  0.51
2026-03-20T13:00:00.000Z,  0.43
2026-03-20T14:00:00.000Z,  0.39
2026-03-20T15:00:00.000Z,  0.46
2026-03-20T16:00:00.000Z,  0.57
2026-03-20T17:00:00.000Z,  0.37
2026-03-20T18:00:00.000Z,  0.08
2026-03-20T19:00:00.000Z,  0.34
2026-03-20T20:00:00.000Z,  0.71
2026-03-20T21:00:00.000Z,  0.74
2026-03-20T22:00:00.000Z,  0.71
2026-03-20T23:00:00.000Z,  0.66
2026-03-21T00:00:00.000Z,  0.52
2026-03-21T01:00:00.000Z,  0.22
2026-03-21T02:00:00.000Z,  0.00
2026-03-21T03:00:00.000Z,  0.00
2026-03-21T04:00:00.000Z,  0.00
2026-03-21T05:00:00.000Z,  0.00
2026-03-21T06:00:00.000Z,  0.22
2026-03-21T07:00:00.000Z,  0.52
2026-03-21T08:00:00.000Z,  0.58
2026-03-21T09:00:00.000Z,  0.50
2026-03-21T10:00:00.000Z,  0.55
2026-03-21T11:00:00.000Z,  0.42
2026-03-21T12:00:00.000Z,  0.38
2026-03-21T13:00:00.000Z,  0.41
2026-03-21T14:00:00.000Z,  0.38
2026-03-21T15:00:00.000Z,  0.38
2026-03-21T16:00:00.000Z,  0.63
2026-03-21T17:00:00.000Z,  0.77
2026-03-21T18:00:00.000Z,  0.90
2026-03-21T19:00:00.000Z,  4.62
2026-03-21T20:00:00.000Z,  1.24
2026-03-21T21:00:00.000Z, 10.30
2026-03-21T22:00:00.000Z,  9.28
2026-03-21T23:00:00.000Z,  9.68
2026-03-21T00:00:00.000Z,  0.52
2026-03-21T01:00:00.000Z,  0.22
2026-03-21T02:00:00.000Z,  0.00
2026-03-21T03:00:00.000Z,  0.00
2026-03-21T04:00:00.000Z,  0.00
2026-03-21T05:00:00.000Z,  0.00
2026-03-21T06:00:00.000Z,  0.22
2026-03-21T07:00:00.000Z,  0.52
2026-03-21T08:00:00.000Z,  0.58
2026-03-21T09:00:00.000Z,  0.50
2026-03-21T10:00:00.000Z,  0.55
2026-03-21T11:00:00.000Z,  0.42
2026-03-21T12:00:00.000Z,  0.38
2026-03-21T13:00:00.000Z,  0.41
2026-03-21T14:00:00.000Z,  0.38
2026-03-21T15:00:00.000Z,  0.38
2026-03-21T16:00:00.000Z,  0.63
2026-03-21T17:00:00.000Z,  0.77
2026-03-21T18:00:00.000Z,  0.90
2026-03-21T19:00:00.000Z,  4.62
2026-03-21T20:00:00.000Z,  1.24
2026-03-21T21:00:00.000Z, 10.30
2026-03-21T22:00:00.000Z,  9.28
2026-03-21T23:00:00.000Z,  9.68
