node_id;establecimiento_app;ruta_excel;m3_semana_CON_WES;m3_semana_SIN_WES_referencia;pct_rendimiento_ahorro_vs_ref;grafico_08_origen
000017-08;Colegio ICCO Renca;C:\Users\aniba\OneDrive\Desktop\wes-scripts\reports\reporte de auditoria\auditoria_puntos_renca_abril_2026\Auditoria ICCO Renca 000017-08\consumo_consolidado_parseo_filas_abr06-12_abr13-19_2026.xlsx;214.8000;341.8002;37.16;C:\Users\aniba\OneDrive\Desktop\wes-scripts\reports\reporte de auditoria\auditoria_puntos_renca_abril_2026\Auditoria ICCO Renca 000017-08\graficos_comparativos\08_area_Viernes.png
000017-04;Esc. Lo Velásquez;C:\Users\aniba\OneDrive\Desktop\wes-scripts\reports\reporte de auditoria\auditoria_puntos_renca_abril_2026\Auditoria Escuela Lo Velazquez 000017-04\consumo_consolidado_parseo_filas_abr06-12_abr13-19_2026.xlsx;33.0000;36.7000;10.08;C:\Users\aniba\OneDrive\Desktop\wes-scripts\reports\reporte de auditoria\auditoria_puntos_renca_abril_2026\Auditoria Escuela Lo Velazquez 000017-04\graficos_comparativos\08_area_Viernes.png
000017-06;Piscina Municipal;C:\Users\aniba\OneDrive\Desktop\wes-scripts\reports\reporte de auditoria\auditoria_puntos_renca_abril_2026\Auditoria Piscina Municipal 000017-06\consumo_consolidado_parseo_filas_abr06-12_abr13-19_2026.xlsx;297.8000;698.7400;57.38;C:\Users\aniba\OneDrive\Desktop\wes-scripts\reports\reporte de auditoria\auditoria_puntos_renca_abril_2026\Auditoria Piscina Municipal 000017-06\graficos_comparativos\08_area_Viernes.png
000017-05;Gimnasio;C:\Users\aniba\OneDrive\Desktop\wes-scripts\reports\reporte de auditoria\auditoria_puntos_renca_abril_2026\Auditoria Gimnasio 000017-05\consumo_consolidado_parseo_filas_abr06-12_abr13-19_2026.xlsx;3019.5404;470.1800;-542.21;C:\Users\aniba\OneDrive\Desktop\wes-scripts\reports\reporte de auditoria\auditoria_puntos_renca_abril_2026\Auditoria Gimnasio 000017-05\graficos_comparativos\08_area_Viernes.png
000017-07;Cumbre de cóndores pte.;C:\Users\aniba\OneDrive\Desktop\wes-scripts\reports\reporte de auditoria\auditoria_puntos_renca_abril_2026\Auditoria Cumbre de condores 000017-07 conWES13-17 sinWES06-10\consumo_consolidado_parseo_filas_abr06-12_abr13-19_2026.xlsx;48.4000;51.6001;6.20;
