factura;desde;hasta;m3;total_clp;clp_esperado;sobrecosto_clp;estado
8654028;2025-04-25;2025-06-26;64891;76140000;76140000;0;Con monitoreo WES
8763864;2025-06-26;2025-08-27;42574;55843950;49954298;5889652;Sin monitoreo WES
8879369;2025-08-27;2025-10-27;47386;67628620;55600469;12028151;Sin monitoreo WES
8992913;2025-10-27;2025-12-27;49981;67512650;58645318;8867332;Sin monitoreo WES
9105981;2025-12-27;2026-02-25;46587;62258390;54662961;7595429;Sin monitoreo WES
9222834;2026-02-25;2026-04-28;58067;85120650;68133044;16987606;Sin monitoreo WES
