ranking,node_id,colegio,total_anio_con_WES_m3,total_anio_sin_WES_est_m3,ahorro_anual_m3,pct_eficiencia_auditoria
1,000010-03,Esc. Padre Hurtado,52998.0341,70664.0278,17665.9937,33.3333
2,000010-05,Esc. Luis Matte Larraín,73057.5345,86515.536,13458.0015,18.4211
3,000010-04,Colegio Maipo,7092.0374,9167.7563,2075.7189,29.2683
4,000010-08,Liceo Chiloé,15112.437,17031.475,1919.038,12.6984
5,000010-10,Consolidada,12799.2327,14653.3296,1854.0969,14.486
6,000010-06,Esc. Gabriela,8566.8822,10381.0494,1814.1672,21.1765
7,000010-02,Esc. Villa Independencia,4211.3673,5522.455,1311.0877,31.1321
8,000010-01,Escuela Andes del SUR,11479.5603,12580.335,1100.7747,9.589
9,000010-09,Esc. Los Andes,4326.3988,5266.9189,940.5201,21.7391
10,000010-07,Esc. Juan Mackenna,5738.8498,6230.7496,491.8998,8.5714
11,000010-11,Esc. Nonato Coo,4587.1205,4699.0006,111.8801,2.439
