node_id,colegio,pct_eficiencia_auditoria,pct_eficiencia_fuente,factor_sin_WES_vs_medicion,pct_eficiencia_kpi_app,2025-01,2025-01_sin_WES_est_m3,2025-01_dias_con_dato,2025-01_metodo,2025-02,2025-02_sin_WES_est_m3,2025-02_dias_con_dato,2025-02_metodo,2025-03,2025-03_sin_WES_est_m3,2025-03_dias_con_dato,2025-03_metodo,2025-04,2025-04_sin_WES_est_m3,2025-04_dias_con_dato,2025-04_metodo,2025-05,2025-05_sin_WES_est_m3,2025-05_dias_con_dato,2025-05_metodo,2025-06,2025-06_sin_WES_est_m3,2025-06_dias_con_dato,2025-06_metodo,2025-07,2025-07_sin_WES_est_m3,2025-07_dias_con_dato,2025-07_metodo,2025-08,2025-08_sin_WES_est_m3,2025-08_dias_con_dato,2025-08_metodo,2025-09,2025-09_sin_WES_est_m3,2025-09_dias_con_dato,2025-09_metodo,2025-10,2025-10_sin_WES_est_m3,2025-10_dias_con_dato,2025-10_metodo,2025-11,2025-11_sin_WES_est_m3,2025-11_dias_con_dato,2025-11_metodo,2025-12,2025-12_sin_WES_est_m3,2025-12_dias_con_dato,2025-12_metodo,total_anio_m3,total_anio_sin_WES_est_m3
000010-04,Colegio Maipo,29.2683,informe_csv,1.292683,0.0,340.13,439.6803,30,csv_local_guardado,337.18,435.8669,27,csv_local_guardado,780.68,1009.1718,30,csv_local_guardado,849.93,1098.6901,29,csv_local_guardado,584.3,755.3147,30,csv_local_guardado,516.39,667.5286,29,csv_local_guardado,1107.36,1431.4654,29,csv_local_guardado,542.51,701.2935,30,csv_local_guardado,508.32,657.0966,29,csv_local_guardado,610.14,788.7176,30,csv_local_guardado,390.23,504.4437,26,csv_local_guardado,108.18,139.8424,10,csv_local_guardado,6675.35,8629.1116
000010-10,Consolidada,14.486,informe_csv,1.14486,0.0,1066.7,1221.2222,23,csv_local_guardado,1163.8,1332.3881,26,csv_local_guardado,1658.9,1899.2083,25,csv_local_guardado,1427.6,1634.4021,29,csv_local_guardado,818.6,937.1824,30,csv_local_guardado,537.8,615.7057,27,csv_local_guardado,1235.31,1414.257,30,csv_local_guardado,1139.8,1304.9114,30,csv_local_guardado,374.4,428.6356,16,csv_local_guardado,720.1,824.4137,30,csv_local_guardado,816.8,935.1216,29,csv_local_guardado,539.2,617.3085,30,csv_local_guardado,11499.01,13164.7566
000010-06,Esc. Gabriela,21.1765,informe_csv,1.211765,0.0,567.3,687.4343,28,csv_local_guardado,1034.3,1253.3285,15,csv_local_guardado,319.1,386.6742,20,csv_local_guardado,204.8,248.1695,15,csv_local_guardado,205.3,248.7754,5,csv_local_guardado,20.1,24.3565,2,csv_local_guardado,30.8,37.3224,2,csv_local_guardado,367.8,445.6872,26,csv_local_guardado,411.2,498.2778,25,csv_local_guardado,869.6,1053.7508,29,csv_local_guardado,475.8,576.5578,12,csv_local_guardado,0.0,0.0,0,csv_local_vacio,4506.1,5460.3344
000010-07,Esc. Juan Mackenna,8.5714,informe_csv,1.085714,0.0,374.75,406.8713,30,csv_local_guardado,336.62,365.473,27,csv_local_guardado,812.05,881.6541,30,csv_local_guardado,588.53,638.9753,29,csv_local_guardado,448.18,486.5953,30,csv_local_guardado,358.07,388.7616,29,csv_local_guardado,468.94,509.1347,30,csv_local_guardado,502.82,545.9187,29,csv_local_guardado,430.3,467.1827,29,csv_local_guardado,247.63,268.8554,18,csv_local_guardado,537.17,583.213,29,csv_local_guardado,347.96,377.785,30,csv_local_guardado,5453.02,5920.4201
000010-09,Esc. Los Andes,21.7391,informe_csv,1.217391,0.0,85.7,104.3304,30,csv_local_guardado,139.8,170.1913,27,csv_local_guardado,367.9,447.8781,30,csv_local_guardado,371.6,452.3825,29,csv_local_guardado,319.4,388.8347,30,csv_local_guardado,346.3,421.5825,29,csv_local_guardado,699.6,851.6867,30,csv_local_guardado,459.7,559.6346,30,csv_local_guardado,302.1,367.7738,29,csv_local_guardado,293.9,357.7912,30,csv_local_guardado,466.7,568.1564,29,csv_local_guardado,406.9,495.3564,30,csv_local_guardado,4259.6,5185.5986
000010-05,Esc. Luis Matte Larraín,18.4211,informe_csv,1.184211,0.0,2692.53,3188.5236,27,csv_local_guardado,418.29,495.3436,4,csv_local_guardado,166.55,197.2303,15,csv_local_guardado,0.0,0.0,0,csv_local_guardado,20373.98,24127.0912,23,csv_local_guardado,8746.63,10357.8555,23,csv_local_guardado,20017.8,23705.299,23,csv_local_guardado,412.97,489.0436,30,csv_local_guardado,431.24,510.6792,29,csv_local_guardado,385.37,456.3594,30,csv_local_guardado,739.24,875.4161,29,csv_local_guardado,492.8,583.5792,30,csv_local_guardado,54877.4,64986.4207
000010-11,Esc. Nonato Coo,2.439,informe_csv,1.02439,0.0,0.0,0.0,0,csv_local_guardado,0.0,0.0,0,csv_local_guardado,289.64,296.7043,21,csv_local_guardado,834.22,854.5666,29,csv_local_guardado,790.93,810.2208,28,csv_local_guardado,331.09,339.1653,29,csv_local_guardado,199.8,204.6731,30,csv_local_guardado,183.16,187.6273,25,csv_local_guardado,213.41,218.6151,29,csv_local_guardado,842.27,862.813,30,csv_local_guardado,255.12,261.3424,12,csv_local_guardado,0.0,0.0,0,csv_local_vacio,3939.64,4035.7279
000010-03,Esc. Padre Hurtado,33.3333,informe_csv,1.333333,0.0,1550.9,2067.8661,16,csv_local_guardado,3429.4,4572.5322,7,csv_local_guardado,11069.1,14758.7963,24,csv_local_guardado,234.7,312.9333,24,csv_local_guardado,241.9,322.5333,21,csv_local_guardado,432.1,576.1332,16,csv_local_guardado,18220.0,24293.3273,30,csv_local_guardado,357.7,476.9332,30,csv_local_guardado,343.8,458.3999,29,csv_local_guardado,380.8,507.7332,30,csv_local_guardado,466.7,622.2665,27,csv_local_guardado,265.3,353.7332,29,csv_local_guardado,36992.4,49323.1877
000010-02,Esc. Villa Independencia,31.1321,informe_csv,1.311321,0.0,18.98,24.8889,4,csv_local_guardado,4.3,5.6387,2,csv_local_guardado,348.34,456.7856,13,csv_local_guardado,16.01,20.9942,21,csv_local_guardado,6.82,8.9432,4,csv_local_guardado,1121.49,1470.6334,29,csv_local_guardado,1361.16,1784.9177,27,csv_local_guardado,76.45,100.2505,30,csv_local_guardado,95.14,124.7591,29,csv_local_guardado,130.86,171.5995,28,csv_local_guardado,84.52,110.8329,29,csv_local_guardado,51.56,67.6117,30,csv_local_guardado,3315.63,4347.8554
000010-01,Escuela Andes del SUR,9.589,informe_csv,1.09589,0.0,162.3,177.8629,15,csv_local_guardado,293.6,321.7533,27,csv_local_guardado,660.9,724.2737,30,csv_local_guardado,602.8,660.6025,29,csv_local_guardado,813.8,891.8353,30,csv_local_guardado,1036.3,1135.6708,29,csv_local_guardado,1719.71,1884.613,30,csv_local_guardado,1604.4,1758.2459,30,csv_local_guardado,580.6,636.2737,14,csv_local_guardado,739.9,810.849,25,csv_local_guardado,1036.3,1135.6708,29,csv_local_guardado,301.4,330.3012,8,csv_local_guardado,9552.01,10467.9521
000010-08,Liceo Chiloé,12.6984,informe_csv,1.126984,0.0,1107.87,1248.5518,30,csv_local_guardado,825.77,930.6296,27,csv_local_guardado,1875.38,2113.5233,30,csv_local_guardado,1419.29,1599.5171,29,csv_local_guardado,1210.52,1364.2367,30,csv_local_guardado,1401.06,1578.9722,29,csv_local_guardado,1623.85,1830.053,30,csv_local_guardado,1341.94,1512.3449,30,csv_local_guardado,1076.44,1213.1307,28,csv_local_guardado,1306.46,1472.3595,29,csv_local_guardado,898.32,1012.3923,24,csv_local_guardado,392.01,441.789,24,csv_local_guardado,14478.91,16317.5001
TOTAL,SUMATORIA,,,,,7967.16,9567.2318,,,7983.06,9883.1452,,,18348.54,23171.9,,,6549.48,7521.2332,,,25813.73,30341.563,,,14847.33,17576.3653,,,46684.33,57946.7493,,,6989.25,8081.8908,,,4766.95,5580.8242,,,6527.03,7575.2423,,,6166.9,7185.4135,,,2905.31,3407.3066,,,155549.07,187838.8652
