node_id,colegio,pct_eficiencia_auditoria,pct_eficiencia_fuente,factor_sin_WES_vs_medicion,pct_eficiencia_kpi_app,2025-01,2025-01_sin_WES_est_m3,2025-01_dias_con_dato,2025-01_metodo,2025-02,2025-02_sin_WES_est_m3,2025-02_dias_con_dato,2025-02_metodo,2025-03,2025-03_sin_WES_est_m3,2025-03_dias_con_dato,2025-03_metodo,2025-04,2025-04_sin_WES_est_m3,2025-04_dias_con_dato,2025-04_metodo,2025-05,2025-05_sin_WES_est_m3,2025-05_dias_con_dato,2025-05_metodo,2025-06,2025-06_sin_WES_est_m3,2025-06_dias_con_dato,2025-06_metodo,2025-07,2025-07_sin_WES_est_m3,2025-07_dias_con_dato,2025-07_metodo,2025-08,2025-08_sin_WES_est_m3,2025-08_dias_con_dato,2025-08_metodo,2025-09,2025-09_sin_WES_est_m3,2025-09_dias_con_dato,2025-09_metodo,2025-10,2025-10_sin_WES_est_m3,2025-10_dias_con_dato,2025-10_metodo,2025-11,2025-11_sin_WES_est_m3,2025-11_dias_con_dato,2025-11_metodo,2025-12,2025-12_sin_WES_est_m3,2025-12_dias_con_dato,2025-12_metodo,total_anio_m3,total_anio_sin_WES_est_m3
000010-04,Colegio Maipo,76.2,informe_csv,1.762,0.0,340.13,599.3091,30,csv_local_guardado,337.18,594.1112,27,csv_local_guardado,780.68,1375.5582,30,csv_local_guardado,849.93,1497.5767,29,csv_local_guardado,584.3,1029.5366,30,csv_local_guardado,516.39,909.8792,29,csv_local_guardado,1107.36,1951.1683,29,csv_local_guardado,542.51,955.9026,30,csv_local_guardado,508.32,895.6598,29,csv_local_guardado,610.14,1075.0667,30,csv_local_guardado,390.23,687.5853,26,csv_local_guardado,108.18,190.6132,10,csv_local_guardado,6675.35,11761.9669
000010-10,Consolidada,10.9,informe_csv,1.109,0.0,1066.7,1182.9703,23,csv_local_guardado,1163.8,1290.6542,26,csv_local_guardado,1658.9,1839.7201,25,csv_local_guardado,1427.6,1583.2084,29,csv_local_guardado,818.6,907.8274,30,csv_local_guardado,537.8,596.4202,27,csv_local_guardado,1235.31,1369.9588,30,csv_local_guardado,1139.8,1264.0382,30,csv_local_guardado,374.4,415.2096,16,csv_local_guardado,720.1,798.5909,30,csv_local_guardado,816.8,905.8312,29,csv_local_guardado,539.2,597.9728,30,csv_local_guardado,11499.01,12752.4021
000010-06,Esc. Gabriela,39.5,informe_csv,1.395,0.0,567.3,791.3835,28,csv_local_guardado,1034.3,1442.8485,15,csv_local_guardado,319.1,445.1445,20,csv_local_guardado,204.8,285.696,15,csv_local_guardado,205.3,286.3935,5,csv_local_guardado,20.1,28.0395,2,csv_local_guardado,30.8,42.966,2,csv_local_guardado,367.8,513.081,26,csv_local_guardado,411.2,573.624,25,csv_local_guardado,869.6,1213.092,29,csv_local_guardado,475.8,663.741,12,csv_local_guardado,0.0,0.0,0,csv_local_vacio,4506.1,6286.0095
000010-07,Esc. Juan Mackenna,20.88,informe_csv,1.2088,0.0,374.75,452.9978,30,csv_local_guardado,336.62,406.9063,27,csv_local_guardado,812.05,981.606,30,csv_local_guardado,588.53,711.4151,29,csv_local_guardado,448.18,541.76,30,csv_local_guardado,358.07,432.835,29,csv_local_guardado,468.94,566.8547,30,csv_local_guardado,502.82,607.8088,29,csv_local_guardado,430.3,520.1466,29,csv_local_guardado,247.63,299.3351,18,csv_local_guardado,537.17,649.3311,29,csv_local_guardado,347.96,420.614,30,csv_local_guardado,5453.02,6591.6105
000010-09,Esc. Los Andes,6.78,informe_csv,1.0678,0.0,85.7,91.5105,30,csv_local_guardado,139.8,149.2784,27,csv_local_guardado,367.9,392.8436,30,csv_local_guardado,371.6,396.7945,29,csv_local_guardado,319.4,341.0553,30,csv_local_guardado,346.3,369.7791,29,csv_local_guardado,699.6,747.0329,30,csv_local_guardado,459.7,490.8677,30,csv_local_guardado,302.1,322.5824,29,csv_local_guardado,293.9,313.8264,30,csv_local_guardado,466.7,498.3423,29,csv_local_guardado,406.9,434.4878,30,csv_local_guardado,4259.6,4548.4009
000010-05,Esc. Luis Matte Larraín,18.42105263157895,proyeccion_xlsx,1.184211,0.0,2692.53,3188.5224,27,csv_local_guardado,418.29,495.3434,4,csv_local_guardado,166.55,197.2303,15,csv_local_guardado,0.0,0.0,0,csv_local_guardado,20373.98,24127.0816,23,csv_local_guardado,8746.63,10357.8513,23,csv_local_guardado,20017.8,23705.2895,23,csv_local_guardado,412.97,489.0434,30,csv_local_guardado,431.24,510.6789,29,csv_local_guardado,385.37,456.3592,30,csv_local_guardado,739.24,875.4158,29,csv_local_guardado,492.8,583.5789,30,csv_local_guardado,54877.4,64986.3947
000010-11,Esc. Nonato Coo,4.7,informe_csv,1.047,0.0,0.0,0.0,0,csv_local_guardado,0.0,0.0,0,csv_local_guardado,289.64,303.2531,21,csv_local_guardado,834.22,873.4283,29,csv_local_guardado,790.93,828.1037,28,csv_local_guardado,331.09,346.6512,29,csv_local_guardado,199.8,209.1906,30,csv_local_guardado,183.16,191.7685,25,csv_local_guardado,213.41,223.4403,29,csv_local_guardado,842.27,881.8567,30,csv_local_guardado,255.12,267.1106,12,csv_local_guardado,0.0,0.0,0,csv_local_vacio,3939.64,4124.803
000010-03,Esc. Padre Hurtado,78.5,informe_csv,1.785,0.0,1550.9,2768.3565,16,csv_local_guardado,3429.4,6121.479,7,csv_local_guardado,11069.1,19758.3435,24,csv_local_guardado,234.7,418.9395,24,csv_local_guardado,241.9,431.7915,21,csv_local_guardado,432.1,771.2985,16,csv_local_guardado,18220.0,32522.7,30,csv_local_guardado,357.7,638.4945,30,csv_local_guardado,343.8,613.683,29,csv_local_guardado,380.8,679.728,30,csv_local_guardado,466.7,833.0595,27,csv_local_guardado,265.3,473.5605,29,csv_local_guardado,36992.4,66031.434
000010-02,Esc. Villa Independencia,24.2,informe_csv,1.242,0.0,18.98,23.5732,4,csv_local_guardado,4.3,5.3406,2,csv_local_guardado,348.34,432.6383,13,csv_local_guardado,16.01,19.8844,21,csv_local_guardado,6.82,8.4704,4,csv_local_guardado,1121.49,1392.8906,29,csv_local_guardado,1361.16,1690.5607,27,csv_local_guardado,76.45,94.9509,30,csv_local_guardado,95.14,118.1639,29,csv_local_guardado,130.86,162.5281,28,csv_local_guardado,84.52,104.9738,29,csv_local_guardado,51.56,64.0375,30,csv_local_guardado,3315.63,4118.0124
000010-01,Escuela Andes del SUR,53.8,informe_csv,1.538,0.0,162.3,249.6174,15,csv_local_guardado,293.6,451.5568,27,csv_local_guardado,660.9,1016.4642,30,csv_local_guardado,602.8,927.1064,29,csv_local_guardado,813.8,1251.6244,30,csv_local_guardado,1036.3,1593.8294,29,csv_local_guardado,1719.71,2644.914,30,csv_local_guardado,1604.4,2467.5672,30,csv_local_guardado,580.6,892.9628,14,csv_local_guardado,739.9,1137.9662,25,csv_local_guardado,1036.3,1593.8294,29,csv_local_guardado,301.4,463.5532,8,csv_local_guardado,9552.01,14690.9914
