node_id,pct_eficiencia_auditoria
000010-01,9.589
000010-02,31.1321
000010-03,33.3333
000010-04,29.2683
000010-05,18.4211
000010-06,21.1765
000010-07,8.5714
000010-08,12.6984
000010-09,21.7391
000010-10,14.486
000010-11,2.439
